SMS_pers_legacy_id_ssd1,SMS_pers_person_id_ssd1,SMS_pers_legacy_id_ssd2,SMS_pers_person_id_ssd2,SMS_pers_legacy_id_ssd3,SMS_pers_person_id_ssd3,Az_pers_legacy_id_ssd1,Az_pers_person_id_ssd1,Az_pers_legacy_id_ssd2,Az_pers_person_id_ssd2,Az_pers_legacy_id_ssd3,Az_pers_person_id_ssd3,cincplac_pers_legacy_id,cincplac_pers_person_id
P4217422,173063,P4217422,173063,P4069527,105724,P4217422,173063,P4217422,173063,P4069527,105724,7222112,7222112
P4217602,173127,P4217602,173127,P4069699,105783,P4217602,173127,P4217602,173127,P4069699,105783,7222195,7222195
P4217603,173128,P4217603,173128,P4069728,105796,P4217603,173128,P4217603,173128,P4069728,105796,7222255,7222255
P4217615,173135,P4217615,173135,P4069748,105807,P4217615,173135,P4217615,173135,P4069748,105807,7218775,7218775
P4217616,173136,P4217616,173136,P4069999,105901,P4217616,173136,P4217616,173136,P4069999,105901,P4234550,181685
P4217621,173139,P4217621,173139,P4070199,105958,P4217621,173139,P4217621,173139,P4070199,105958,P4234551,181686
P4218199,173412,P4218199,173412,P4070245,105976,P4218199,173412,P4218199,173412,P4070245,105976,7066288,7066288
P4218259,173451,P4218259,173451,P4070246,105977,P4218259,173451,P4218259,173451,P4070246,105977,7066339,7066339
P4218495,173569,P4218495,173569,P4070250,105980,P4218495,173569,P4218495,173569,P4070250,105980,P4232290,180506
P4218856,173746,P4218856,173746,P4070293,105997,P4218856,173746,P4218856,173746,P4070293,105997,P4232291,180507
P4218901,173764,P4218901,173764,P4070316,106014,P4218901,173764,P4218901,173764,P4070316,106014,P4234949,181868
P4218904,173766,P4218904,173766,P4070349,106022,P4218904,173766,P4218904,173766,P4070349,106022,P4235233,182035
P4218905,173767,P4218905,173767,P4070363,106030,P4218905,173767,P4218905,173767,P4070363,106030,P4235234,182036
P4219039,173841,P4219039,173841,P4070371,106035,P4219039,173841,P4219039,173841,P4070371,106035,7219488,7219488
P4219460,174059,P4219460,174059,P4070383,106037,P4219460,174059,P4219460,174059,P4070383,106037,7222354,7222354
P4219489,174066,P4219489,174066,P4070461,106061,P4219489,174066,P4219489,174066,P4070461,106061,7222356,7222356
P4219550,174092,P4219550,174092,P4070462,106062,P4219550,174092,P4219550,174092,P4070462,106062,7222447,7222447
P4219614,174136,P4219614,174136,P4070505,106077,P4219614,174136,P4219614,174136,P4070505,106077,7066528,7066528
P4219651,174150,P4219651,174150,P4070581,106115,P4219651,174150,P4219651,174150,P4070581,106115,P4235554,182221
P4219855,174235,P4219855,174235,P4070584,106117,P4219855,174235,P4219855,174235,P4070584,106117,P4235807,182330
P4220215,174399,P4220215,174399,P4070602,106121,P4220215,174399,P4220215,174399,P4070602,106121,7219809,7219809
P4220364,174469,P4220364,174469,P4070632,106140,P4220364,174469,P4220364,174469,P4070632,106140,7222551,7222551
P4220430,174501,P4220430,174501,P4070726,106183,P4220430,174501,P4220430,174501,P4070726,106183,7219985,7219985
P4220508,174540,P4220508,174540,P4070884,106230,P4220508,174540,P4220508,174540,P4070884,106230,P4236614,182727
P4220574,174580,P4220574,174580,P4070889,106232,P4220574,174580,P4220574,174580,P4070889,106232,P4236793,182800
P4221025,174815,P4221025,174815,P4070990,106263,P4221025,174815,P4221025,174815,P4070990,106263,P4236847,182822
P4221051,174827,P4221051,174827,P4071031,106272,P4221051,174827,P4221051,174827,P4071031,106272,P4232988,180885
P4221214,174904,P4221214,174904,P4071058,106280,P4221214,174904,P4221214,174904,P4071058,106280,P4237761,183294
P4221263,174923,P4221263,174923,P4071115,106292,P4221263,174923,P4221263,174923,P4071115,106292,7220633,7220633
P4221456,175038,P4221456,175038,P4071246,106352,P4221456,175038,P4221456,175038,P4071246,106352,7066852,7066852
P4221458,175040,P4221458,175040,P4071254,106356,P4221458,175040,P4221458,175040,P4071254,106356,7066856,7066856
P4221579,175115,P4221579,175115,P4071275,106366,P4221579,175115,P4221579,175115,P4071275,106366,7066927,7066927
P4221640,175145,P4221640,175145,P4071322,106387,P4221640,175145,P4221640,175145,P4071322,106387,7066928,7066928
P4221657,175150,P4221657,175150,P4071333,106390,P4221657,175150,P4221657,175150,P4071333,106390,P4016805,84723
P4221872,175238,P4221872,175238,P4071335,106392,P4221872,175238,P4221872,175238,P4071335,106392,P4233290,181051
P4222028,175318,P4222028,175318,P4071351,106403,P4222028,175318,P4222028,175318,P4071351,106403,P4233324,181070
P4222089,175350,P4222089,175350,P4071364,106409,P4222089,175350,P4222089,175350,P4071364,106409,P4233438,181140
P4222270,175420,P4222270,175420,P4071365,106410,P4222270,175420,P4222270,175420,P4071365,106410,7222721,7222721
P4222454,175529,P4222454,175529,P4071387,106419,P4222454,175529,P4222454,175529,P4071387,106419,7222722,7222722
P4222579,175585,P4222579,175585,P4071388,106420,P4222579,175585,P4222579,175585,P4071388,106420,7220653,7220653
P4222608,175593,P4222608,175593,P4071433,106440,P4222608,175593,P4222608,175593,P4071433,106440,7220654,7220654
P4222719,175658,P4222719,175658,P4071488,106461,P4222719,175658,P4222719,175658,P4071488,106461,7220752,7220752
P4222781,175691,P4222781,175691,P4071496,106463,P4222781,175691,P4222781,175691,P4071496,106463,P4237912,183366
P4223276,175913,P4223276,175913,P4071525,106483,P4223276,175913,P4223276,175913,P4071525,106483,P4237925,183372
P4223291,175923,P4223291,175923,P4071527,106485,P4223291,175923,P4223291,175923,P4071527,106485,P4237938,183380
P4223346,175944,P4223346,175944,P4071570,106500,P4223346,175944,P4223346,175944,P4071570,106500,P4238583,183662
P4223547,176036,P4223547,176036,P4071634,106524,P4223547,176036,P4223547,176036,P4071634,106524,7067113,7067113
P4223636,176083,P4223636,176083,P4071863,106592,P4223636,176083,P4223636,176083,P4071863,106592,P4233635,181237
P4224065,176297,P4224065,176297,P4071864,106593,P4224065,176297,P4224065,176297,P4071864,106593,P4239096,183837
P4224597,176532,P4224597,176532,P4071880,106605,P4224597,176532,P4224597,176532,P4071880,106605,P4239381,183924
P4225207,176825,P4225207,176825,P4072000,106666,P4225207,176825,P4225207,176825,P4072000,106666,P4239662,184027
P4225440,176978,P4225440,176978,P4072032,106676,P4225440,176978,P4225440,176978,P4072032,106676,7221295,7221295
P4225622,177068,P4225622,177068,P4072110,106713,P4225622,177068,P4225622,177068,P4072110,106713,7222837,7222837
P4225901,177223,P4225901,177223,P4072121,106719,P4225901,177223,P4225901,177223,P4072121,106719,7222843,7222843
P4225950,177244,P4225950,177244,P4072155,106738,P4225950,177244,P4225950,177244,P4072155,106738,7223001,7223001
P4226008,177272,P4226008,177272,P4072220,106764,P4226008,177272,P4226008,177272,P4072220,106764,P4017731,85097
P4226492,177532,P4226492,177532,P4072258,106780,P4226492,177532,P4226492,177532,P4072258,106780,P4239892,184127
P4226497,177536,P4226497,177536,P4072283,106788,P4226497,177536,P4226497,177536,P4072283,106788,P4240330,184313
P4226764,177663,P4226764,177663,P4072358,106807,P4226764,177663,P4226764,177663,P4072358,106807,P4240332,184315
P4226836,177699,P4226836,177699,P4072362,106810,P4226836,177699,P4226836,177699,P4072362,106810,P4240340,184317
P4227017,177787,P4227017,177787,P4072374,106819,P4227017,177787,P4227017,177787,P4072374,106819,P4240556,184407
P4227349,177962,P4227349,177962,P4072519,106893,P4227349,177962,P4227349,177962,P4072519,106893,7067145,7067145
P4227350,177963,P4227350,177963,P4072560,106912,P4227350,177963,P4227350,177963,P4072560,106912,P4234033,181444
P4227374,177969,P4227374,177969,P4072606,106926,P4227374,177969,P4227374,177969,P4072606,106926,7067206,7067206
P4227477,178005,P4227477,178005,P4072624,106931,P4227477,178005,P4227477,178005,P4072624,106931,7067301,7067301
P4228302,178411,P4228302,178411,P4072707,106970,P4228302,178411,P4228302,178411,P4072707,106970,P4241005,184594
P4228547,178517,P4228547,178517,P4072728,106981,P4228547,178517,P4228547,178517,P4072728,106981,7221841,7221841
P4228784,178620,P4228784,178620,P4072778,107004,P4228784,178620,P4228784,178620,P4072778,107004,7221842,7221842
P4228871,178653,P4228871,178653,P4072799,107013,P4228871,178653,P4228871,178653,P4072799,107013,P4241264,184681
P4228873,178654,P4228873,178654,P4072803,107015,P4228873,178654,P4228873,178654,P4072803,107015,P4241299,184693
P4228912,178683,P4228912,178683,P4072915,107048,P4228912,178683,P4228912,178683,P4072915,107048,7221934,7221934
P4229138,178775,P4229138,178775,P4073024,107087,P4229138,178775,P4229138,178775,P4073024,107087,7221945,7221945
P4229174,178797,P4229174,178797,P4073026,107089,P4229174,178797,P4229174,178797,P4073026,107089,7223113,7223113
P4229176,178798,P4229176,178798,P4073046,107102,P4229176,178798,P4229176,178798,P4073046,107102,P4234419,181630
P4229730,179103,P4229730,179103,P4073047,107103,P4229730,179103,P4229730,179103,P4073047,107103,7222121,7222121
P4229856,179176,P4229856,179176,P4073178,107153,P4229856,179176,P4229856,179176,P4073178,107153,7222414,7222414
P4229861,179178,P4229861,179178,P4073237,107181,P4229861,179178,P4229861,179178,P4073237,107181,P4242602,185230
P4229966,179238,P4229966,179238,P4073263,107198,P4229966,179238,P4229966,179238,P4073263,107198,P4018539,85449
P4230019,179269,P4230019,179269,P4073280,107204,P4230019,179269,P4230019,179269,P4073280,107204,S784622,7148085
P4230207,179371,P4230207,179371,P4073282,107206,P4230207,179371,P4230207,179371,P4073282,107206,7223383,7223383
P4230290,179414,P4230290,179414,P4073356,107231,P4230290,179414,P4230290,179414,P4073356,107231,7223386,7223386
P4230296,179420,P4230296,179420,P4073358,107232,P4230296,179420,P4230296,179420,P4073358,107232,P4243104,185453
P4230416,179494,P4230416,179494,P4073386,107243,P4230416,179494,P4230416,179494,P4073386,107243,P4243106,185454
P4230874,179724,P4230874,179724,P4073445,107270,P4230874,179724,P4230874,179724,P4073445,107270,7222693,7222693
P4230958,179773,P4230958,179773,P4073522,107294,P4230958,179773,P4230958,179773,P4073522,107294,7222704,7222704
P4230982,179785,P4230982,179785,P4073637,107340,P4230982,179785,P4230982,179785,P4073637,107340,7222773,7222773
P4231114,179868,P4231114,179868,P4073639,107341,P4231114,179868,P4231114,179868,P4073639,107341,P4243480,185612
P4231151,179888,P4231151,179888,P4073677,107360,P4231151,179888,P4231151,179888,P4073677,107360,7067526,7067526
P4231337,179990,P4231337,179990,P4073716,107380,P4231337,179990,P4231337,179990,P4073716,107380,P4243505,185626
P4231427,180030,P4231427,180030,P4073718,107381,P4231427,180030,P4231427,180030,P4073718,107381,P4243682,185693
P4231492,180068,P4231492,180068,P4073746,107389,P4231492,180068,P4231492,180068,P4073746,107389,7222982,7222982
P4231687,180179,P4231687,180179,P4073770,107398,P4231687,180179,P4231687,180179,P4073770,107398,7222983,7222983
P4231728,180201,P4231728,180201,P4073800,107407,P4231728,180201,P4231728,180201,P4073800,107407,7222986,7222986
P4231729,180202,P4231729,180202,P4073830,107421,P4231729,180202,P4231729,180202,P4073830,107421,7222987,7222987
P4231731,180204,P4231731,180204,P4073852,107429,P4231731,180204,P4231731,180204,P4073852,107429,7222989,7222989
P4231785,180223,P4231785,180223,P4073949,107462,P4231785,180223,P4231785,180223,P4073949,107462,P4243931,185814
P4231787,180225,P4231787,180225,P4073950,107463,P4231787,180225,P4231787,180225,P4073950,107463,P4243957,185831
P4231993,180345,P4231993,180345,P4073953,107465,P4231993,180345,P4231993,180345,P4073953,107465,P4244083,185884
P4232172,180428,P4232172,180428,P4074087,107516,P4232172,180428,P4232172,180428,P4074087,107516,P4244085,185885
P4232265,180496,P4232265,180496,P4074098,107521,P4232265,180496,P4232265,180496,P4074098,107521,P4244181,185928
P4232266,180497,P4232266,180497,P4074217,107563,P4232266,180497,P4232266,180497,P4074217,107563,7223150,7223150
P4232290,180506,P4232290,180506,P4074257,107583,P4232290,180506,P4232290,180506,P4074257,107583,7223162,7223162
P4232291,180507,P4232291,180507,P4074397,107628,P4232291,180507,P4232291,180507,P4074397,107628,7223424,7223424
P4232601,180654,P4232601,180654,P4074420,107637,P4232601,180654,P4232601,180654,P4074420,107637,7223569,7223569
P4232602,180655,P4232602,180655,P4074439,107644,P4232602,180655,P4232602,180655,P4074439,107644,7067852,7067852
P4232870,180808,P4232870,180808,P4074466,107654,P4232870,180808,P4232870,180808,P4074466,107654,P4244394,186009
P4232988,180885,P4232988,180885,P4074468,107656,P4232988,180885,P4232988,180885,P4074468,107656,P4245005,186283
P4232990,180887,P4232990,180887,P4074469,107657,P4232990,180887,P4232990,180887,P4074469,107657,P4245033,186300
P4233089,180945,P4233089,180945,P4074563,107680,P4233089,180945,P4233089,180945,P4074563,107680,7223471,7223471
P4233116,180962,P4233116,180962,P4074565,107681,P4233116,180962,P4233116,180962,P4074565,107681,7223473,7223473
P4233118,180963,P4233118,180963,P4074615,107699,P4233118,180963,P4233118,180963,P4074615,107699,7223539,7223539
P4233290,181051,P4233290,181051,P4074624,107708,P4233290,181051,P4233290,181051,P4074624,107708,P4235542,182216
P4233324,181070,P4233324,181070,P4074650,107718,P4233324,181070,P4233324,181070,P4074650,107718,S785203,7148399
P4233438,181140,P4233438,181140,P4074693,107731,P4233438,181140,P4233438,181140,P4074693,107731,7067960,7067960
P4233635,181237,P4233635,181237,P4074728,107741,P4233635,181237,P4233635,181237,P4074728,107741,7068038,7068038
P4233778,181311,P4233778,181311,P4074734,107744,P4233778,181311,P4233778,181311,P4074734,107744,7223644,7223644
P4233846,181344,P4233846,181344,P4074795,107782,P4233846,181344,P4233846,181344,P4074795,107782,7223661,7223661
P4234033,181444,P4234033,181444,P4074825,107793,P4234033,181444,P4234033,181444,P4074825,107793,7223665,7223665
P4234419,181630,P4234419,181630,P4074947,107841,P4234419,181630,P4234419,181630,P4074947,107841,7223737,7223737
P4234550,181685,P4234550,181685,P4075015,107877,P4234550,181685,P4234550,181685,P4075015,107877,P4246446,186753
P4234551,181686,P4234551,181686,P4075032,107886,P4234551,181686,P4234551,181686,P4075032,107886,P4246708,186837
P4234949,181868,P4234949,181868,P4075033,107887,P4234949,181868,P4234949,181868,P4075033,107887,P4246733,186852
P4235233,182035,P4235233,182035,P4075056,107892,P4235233,182035,P4235233,182035,P4075056,107892,7223830,7223830
P4235234,182036,P4235234,182036,P4075060,107895,P4235234,182036,P4235234,182036,P4075060,107895,P4019819,85958
P4235345,182099,P4235345,182099,P4075127,107926,P4235345,182099,P4235345,182099,P4075127,107926,7223588,7223588
P4235346,182100,P4235346,182100,P4075139,107930,P4235346,182100,P4235346,182100,P4075139,107930,7223689,7223689
P4235542,182216,P4235542,182216,P4075161,107936,P4235542,182216,P4235542,182216,P4075161,107936,7223690,7223690
P4235807,182330,P4235807,182330,P4075162,107937,P4235807,182330,P4235807,182330,P4075162,107937,7068177,7068177
P4236495,182647,P4236495,182647,P4075213,107956,P4236495,182647,P4236495,182647,P4075213,107956,7223952,7223952
P4236531,182669,P4236531,182669,P4075278,107980,P4236531,182669,P4236531,182669,P4075278,107980,P4247749,187316
P4236614,182727,P4236614,182727,P4075283,107984,P4236614,182727,P4236614,182727,P4075283,107984,P4247800,187340
P4236707,182768,P4236707,182768,P4075318,107998,P4236707,182768,P4236707,182768,P4075318,107998,7224418,7224418
P4236847,182822,P4236847,182822,P4075407,108036,P4236847,182822,P4236847,182822,P4075407,108036,7224505,7224505
P4236942,182870,P4236942,182870,P4075424,108045,P4236942,182870,P4236942,182870,P4075424,108045,P4248142,187509
P4236978,182897,P4236978,182897,P4075548,108097,P4236978,182897,P4236978,182897,P4075548,108097,P4248144,187510
P4237214,183029,P4237214,183029,P4075549,108098,P4237214,183029,P4237214,183029,P4075549,108098,P4236495,182647
P4237234,183040,P4237234,183040,P4075660,108139,P4237234,183040,P4237234,183040,P4075660,108139,7068268,7068268
P4237413,183137,P4237413,183137,P4075777,108186,P4237413,183137,P4237413,183137,P4075777,108186,7068415,7068415
P4237635,183240,P4237635,183240,P4075986,108262,P4237635,183240,P4237635,183240,P4075986,108262,7068416,7068416
P4237660,183250,P4237660,183250,P4076048,108292,P4237660,183250,P4237660,183250,P4076048,108292,7068437,7068437
P4237761,183294,P4237761,183294,P4076069,108296,P4237761,183294,P4237761,183294,P4076069,108296,P4248527,187678
P4237912,183366,P4237912,183366,P4076220,108347,P4237912,183366,P4237912,183366,P4076220,108347,P4248528,187679
P4237925,183372,P4237925,183372,P4076221,108348,P4237925,183372,P4237925,183372,P4076221,108348,P4248580,187695
P4237938,183380,P4237938,183380,P4076241,108357,P4237938,183380,P4237938,183380,P4076241,108357,P4248630,187704
P4238364,183584,P4238364,183584,P4076244,108360,P4238364,183584,P4238364,183584,P4076244,108360,P4249107,187900
P4238365,183585,P4238365,183585,P4076296,108386,P4238365,183585,P4238365,183585,P4076296,108386,P4249242,187954
P4238583,183662,P4238583,183662,P4076297,108387,P4238583,183662,P4238583,183662,P4076297,108387,P4236942,182870
P4238992,183791,P4238992,183791,P4076547,108502,P4238992,183791,P4238992,183791,P4076547,108502,7223983,7223983
P4239131,183856,P4239131,183856,P4076587,108519,P4239131,183856,P4239131,183856,P4076587,108519,7224136,7224136
P4239132,183857,P4239132,183857,P4076624,108534,P4239132,183857,P4239132,183857,P4076624,108534,P4021107,86484
P4239133,183858,P4239133,183858,P4076633,108541,P4239133,183858,P4239133,183858,P4076633,108541,7068453,7068453
P4239381,183924,P4239381,183924,P4076757,108582,P4239381,183924,P4239381,183924,P4076757,108582,P4249494,188065
P4239592,183999,P4239592,183999,P4076785,108601,P4239592,183999,P4239592,183999,P4076785,108601,P4249531,188087
P4239662,184027,P4239662,184027,P4076792,108607,P4239662,184027,P4239662,184027,P4076792,108607,P4249667,188177
P4239879,184124,P4239879,184124,P4076795,108610,P4239879,184124,P4239879,184124,P4076795,108610,7225157,7225157
P4239951,184159,P4239951,184159,P4076811,108616,P4239951,184159,P4239951,184159,P4076811,108616,7225165,7225165
P4240556,184407,P4240556,184407,P4076835,108622,P4240556,184407,P4240556,184407,P4076835,108622,7225168,7225168
P4240823,184505,P4240823,184505,P4076919,108656,P4240823,184505,P4240823,184505,P4076919,108656,7225227,7225227
P4240856,184526,P4240856,184526,P4077034,108696,P4240856,184526,P4240856,184526,P4077034,108696,P4249953,188329
P4241005,184594,P4241005,184594,P4077089,108724,P4241005,184594,P4241005,184594,P4077089,108724,P4237214,183029
P4241264,184681,P4241264,184681,P4077176,108748,P4241264,184681,P4241264,184681,P4077176,108748,P4237234,183040
P4241299,184693,P4241299,184693,P4077222,108771,P4241299,184693,P4241299,184693,P4077222,108771,P4250200,188440
P4241361,184712,P4241361,184712,P4077238,108775,P4241361,184712,P4241361,184712,P4077238,108775,7225520,7225520
P4241460,184740,P4241460,184740,P4077337,108805,P4241460,184740,P4241460,184740,P4077337,108805,P4251278,188626
P4241489,184754,P4241489,184754,P4077340,108806,P4241489,184754,P4241489,184754,P4077340,108806,P4251279,188627
P4241875,184910,P4241875,184910,P4077389,108822,P4241875,184910,P4241875,184910,P4077389,108822,P4251397,188648
P4242310,185099,P4242310,185099,P4077407,108831,P4242310,185099,P4242310,185099,P4077407,108831,7068807,7068807
P4242480,185171,P4242480,185171,P4077415,108836,P4242480,185171,P4242480,185171,P4077415,108836,P4237660,183250
P4242483,185173,P4242483,185173,P4077423,108840,P4242483,185173,P4242483,185173,P4077423,108840,P4252731,189024
P4242861,185319,P4242861,185319,P4077537,108890,P4242861,185319,P4242861,185319,P4077537,108890,7226086,7226086
P4242863,185320,P4242863,185320,P4077552,108901,P4242863,185320,P4242863,185320,P4077552,108901,S786643,7149253
P4243104,185453,P4243104,185453,P4077570,108912,P4243104,185453,P4243104,185453,P4077570,108912,7226160,7226160
P4243106,185454,P4243106,185454,P4077658,108941,P4243106,185454,P4243106,185454,P4077658,108941,P4253323,189292
P4243240,185500,P4243240,185500,P4077678,108958,P4243240,185500,P4243240,185500,P4077678,108958,P4253330,189298
P4243480,185612,P4243480,185612,P4077700,108965,P4243480,185612,P4243480,185612,P4077700,108965,P4238071,183432
P4243505,185626,P4243505,185626,P4077737,108976,P4243505,185626,P4243505,185626,P4077737,108976,P4238073,183433
P4243637,185675,P4243637,185675,P4077838,109006,P4243637,185675,P4243637,185675,P4077838,109006,S786755,7149312
P4243682,185693,P4243682,185693,P4077937,109039,P4243682,185693,P4243682,185693,P4077937,109039,S786766,7149319
P4243808,185767,P4243808,185767,P4077986,109054,P4243808,185767,P4243808,185767,P4077986,109054,S786767,7149320
P4244004,185850,P4244004,185850,P4078032,109072,P4244004,185850,P4244004,185850,P4078032,109072,S786830,7149344
P4244069,185873,P4244069,185873,P4078044,109074,P4244069,185873,P4244069,185873,P4078044,109074,7224646,7224646
P4244083,185884,P4244083,185884,P4078175,109141,P4244083,185884,P4244083,185884,P4078175,109141,P4254499,189841
P4244085,185885,P4244085,185885,P4078190,109147,P4244085,185885,P4244085,185885,P4078190,109147,P4254528,189850
P4244181,185928,P4244181,185928,P4078287,109197,P4244181,185928,P4244181,185928,P4078287,109197,7226668,7226668
P4244265,185950,P4244265,185950,P4078302,109203,P4244265,185950,P4244265,185950,P4078302,109203,7226671,7226671
P4244279,185958,P4244279,185958,P4078305,109205,P4244279,185958,P4244279,185958,P4078305,109205,7226744,7226744
P4244349,185987,P4244349,185987,P4078313,109206,P4244349,185987,P4244349,185987,P4078313,109206,P4254706,189939
P4244394,186009,P4244394,186009,P4078502,109263,P4244394,186009,P4244394,186009,P4078502,109263,P4254708,189940
P4244504,186058,P4244504,186058,P4078503,109264,P4244504,186058,P4244504,186058,P4078503,109264,7069020,7069020
P4244546,186075,P4244546,186075,P4078525,109267,P4244546,186075,P4244546,186075,P4078525,109267,P4023359,87360
P4244549,186078,P4244549,186078,P4078529,109271,P4244549,186078,P4244549,186078,P4078529,109271,P4238364,183584
P4244550,186079,P4244550,186079,P4078594,109303,P4244550,186079,P4244550,186079,P4078594,109303,P4238365,183585
P4244867,186221,P4244867,186221,P4078595,109304,P4244867,186221,P4244867,186221,P4078595,109304,7226850,7226850
P4244950,186265,P4244950,186265,P4078693,109341,P4244950,186265,P4244950,186265,P4078693,109341,7226851,7226851
P4245005,186283,P4245005,186283,P4078775,109370,P4245005,186283,P4245005,186283,P4078775,109370,7226921,7226921
P4245033,186300,P4245033,186300,P4078877,109410,P4245033,186300,P4245033,186300,P4078877,109410,7227037,7227037
P4245080,186334,P4245080,186334,P4078886,109416,P4245080,186334,P4245080,186334,P4078886,109416,P4255963,190309
P4245302,186405,P4245302,186405,P4078887,109417,P4245302,186405,P4245302,186405,P4078887,109417,P4255964,190310
P4245361,186439,P4245361,186439,P4078977,109473,P4245361,186439,P4245361,186439,P4078977,109473,P4239131,183856
P4245362,186440,P4245362,186440,P4079193,109548,P4245362,186440,P4245362,186440,P4079193,109548,P4239133,183858
P4246244,186672,P4246244,186672,P4079197,109549,P4246244,186672,P4246244,186672,P4079197,109549,P4256637,190402
P4246446,186753,P4246446,186753,P4079354,109620,P4246446,186753,P4246446,186753,P4079354,109620,P4256663,190409
P4246577,186798,P4246577,186798,P4079369,109629,P4246577,186798,P4246577,186798,P4079369,109629,P4256714,190429
P4246708,186837,P4246708,186837,P4079422,109641,P4246708,186837,P4246708,186837,P4079422,109641,P4256924,190501
P4246733,186852,P4246733,186852,P4079508,109671,P4246733,186852,P4246733,186852,P4079508,109671,7069358,7069358
P4247201,187072,P4247201,187072,P4079562,109692,P4247201,187072,P4247201,187072,P4079562,109692,7069371,7069371
P4247472,187202,P4247472,187202,P4079592,109703,P4247472,187202,P4247472,187202,P4079592,109703,P4023935,87617
P4247616,187261,P4247616,187261,P4079621,109712,P4247616,187261,P4247616,187261,P4079621,109712,P4024268,87734
P4247622,187265,P4247622,187265,P4079720,109764,P4247622,187265,P4247622,187265,P4079720,109764,P4257329,190703
P4247749,187316,P4247749,187316,P4079728,109767,P4247749,187316,P4247749,187316,P4079728,109767,P4257515,190800
P4247800,187340,P4247800,187340,P4079877,109834,P4247800,187340,P4247800,187340,P4079877,109834,P4258281,191002
P4247804,187344,P4247804,187344,P4079878,109835,P4247804,187344,P4247804,187344,P4079878,109835,P4258467,191053
P4247933,187407,P4247933,187407,P4079983,109877,P4247933,187407,P4247933,187407,P4079983,109877,P4258500,191069
P4248131,187506,P4248131,187506,P4079993,109881,P4248131,187506,P4248131,187506,P4079993,109881,P4258501,191070
P4248144,187510,P4248144,187510,P4080007,109890,P4248144,187510,P4248144,187510,P4080007,109890,P4239592,183999
P4248527,187678,P4248527,187678,P4080021,109896,P4248527,187678,P4248527,187678,P4080021,109896,7069409,7069409
P4248528,187679,P4248528,187679,P4080022,109897,P4248528,187679,P4248528,187679,P4080022,109897,7069564,7069564
P4248580,187695,P4248580,187695,P4080051,109905,P4248580,187695,P4248580,187695,P4080051,109905,7227953,7227953
P4248630,187704,P4248630,187704,P4080072,109910,P4248630,187704,P4248630,187704,P4080072,109910,P4259123,191383
P4248997,187847,P4248997,187847,P4080077,109914,P4248997,187847,P4248997,187847,P4080077,109914,P4259125,191384
P4249107,187900,P4249107,187900,P4080079,109916,P4249107,187900,P4249107,187900,P4080079,109916,7228141,7228141
P4249242,187954,P4249242,187954,P4080083,109918,P4249242,187954,P4249242,187954,P4080083,109918,7228166,7228166
P4249494,188065,P4249494,188065,P4080084,109919,P4249494,188065,P4249494,188065,P4080084,109919,7228170,7228170
P4249531,188087,P4249531,188087,P4080096,109926,P4249531,188087,P4249531,188087,P4080096,109926,P4239951,184159
P4249593,188136,P4249593,188136,P4080170,109948,P4249593,188136,P4249593,188136,P4080170,109948,7069579,7069579
P4249667,188177,P4249667,188177,P4080272,109991,P4249667,188177,P4249667,188177,P4080272,109991,7069581,7069581
P4249710,188198,P4249710,188198,P4080672,110155,P4249710,188198,P4249710,188198,P4080672,110155,7069737,7069737
P4249716,188202,P4249716,188202,P4080733,110188,P4249716,188202,P4249716,188202,P4080733,110188,P4024992,88015
P4249717,188203,P4249717,188203,P4080738,110191,P4249717,188203,P4249717,188203,P4080738,110191,P4259255,191471
P4249767,188225,P4249767,188225,P4080741,110193,P4249767,188225,P4249767,188225,P4080741,110193,P4259256,191472
P4249953,188329,P4249953,188329,P4080753,110196,P4249953,188329,P4249953,188329,P4080753,110196,7228353,7228353
P4250132,188408,P4250132,188408,P4080793,110210,P4250132,188408,P4250132,188408,P4080793,110210,7228360,7228360
P4251118,188601,P4251118,188601,P4080838,110222,P4251118,188601,P4251118,188601,P4080838,110222,P4259815,191733
P4251278,188626,P4251278,188626,P4080859,110239,P4251278,188626,P4251278,188626,P4080859,110239,7228549,7228549
P4251279,188627,P4251279,188627,P4080884,110260,P4251279,188627,P4251279,188627,P4080884,110260,7228557,7228557
P4251397,188648,P4251397,188648,P4080888,110262,P4251397,188648,P4251397,188648,P4080888,110262,7228612,7228612
P4251677,188691,P4251677,188691,P4080892,110266,P4251677,188691,P4251677,188691,P4080892,110266,7228614,7228614
P4251778,188696,P4251778,188696,P4081001,110314,P4251778,188696,P4251778,188696,P4081001,110314,7228632,7228632
P4252250,188787,P4252250,188787,P4081052,110341,P4252250,188787,P4252250,188787,P4081052,110341,7228637,7228637
P4252368,188856,P4252368,188856,P4081055,110342,P4252368,188856,P4252368,188856,P4081055,110342,P4259956,191816
P4252420,188878,P4252420,188878,P4081167,110389,P4252420,188878,P4252420,188878,P4081167,110389,P4259980,191832
P4252444,188894,P4252444,188894,P4081299,110422,P4252444,188894,P4252444,188894,P4081299,110422,P4240228,184266
P4252631,188965,P4252631,188965,P4081315,110430,P4252631,188965,P4252631,188965,P4081315,110430,P4240229,184267
P4252635,188968,P4252635,188968,P4081461,110470,P4252635,188968,P4252635,188968,P4081461,110470,P4240230,184268
P4252654,188985,P4252654,188985,P4081775,110555,P4252654,188985,P4252654,188985,P4081775,110555,S788209,7150157
P4252671,189000,P4252671,189000,P4081912,110593,P4252671,189000,P4252671,189000,P4081912,110593,7069765,7069765
