source_system,source_file,schema_name,table_name,field_name,table_field,ordinal_position,data_type,size_text,full_type,max_length,numeric_precision,numeric_scale,is_nullable
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cp_reviews,cppr_cp_review_id,ssd_cp_reviews.cppr_cp_review_id,1,numeric,9,numeric(9),,9,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/ssd_cp_reviews_tag_dw.sql,,ssd_cp_reviews,workflow_step_id,ssd_cp_reviews.workflow_step_id,1,numeric,9,numeric(9),,9,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cp_reviews,cppr_cp_plan_id,ssd_cp_reviews.cppr_cp_plan_id,2,numeric,9,numeric(9),,9,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/ssd_cp_reviews_tag_dw.sql,,ssd_cp_reviews,person_id,ssd_cp_reviews.person_id,2,numeric,9,numeric(9),,9,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cp_reviews,cppr_cp_review_due,ssd_cp_reviews.cppr_cp_review_due,3,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/ssd_cp_reviews_tag_dw.sql,,ssd_cp_reviews,registration_id,ssd_cp_reviews.registration_id,3,numeric,9,numeric(9),,9,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cp_reviews,cppr_cp_review_date,ssd_cp_reviews.cppr_cp_review_date,4,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/ssd_cp_reviews_tag_dw.sql,,ssd_cp_reviews,due_date,ssd_cp_reviews.due_date,4,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/ssd_cp_reviews_tag_dw.sql,,ssd_cp_reviews,actual_date,ssd_cp_reviews.actual_date,5,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cp_reviews,cppr_cp_review_outcome_continue_cp,ssd_cp_reviews.cppr_cp_review_outcome_continue_cp,5,varchar,1000,varchar(1000),1000,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cp_reviews,cppr_cp_review_quorate,ssd_cp_reviews.cppr_cp_review_quorate,6,varchar,64,varchar(64),64,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/ssd_cp_reviews_tag_dw.sql,,ssd_cp_reviews,review_outcome,ssd_cp_reviews.review_outcome,6,varchar,1000,varchar(1000),1000,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cp_reviews,cppr_cp_review_participation,ssd_cp_reviews.cppr_cp_review_participation,7,varchar,16,varchar(16),16,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/ssd_cp_reviews_tag_dw.sql,,ssd_cp_reviews,quorate,ssd_cp_reviews.quorate,7,varchar,64,varchar(64),64,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/ssd_cp_reviews_tag_dw.sql,,ssd_cp_reviews,review_participation,ssd_cp_reviews.review_participation,8,varchar,16,varchar(16),16,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/ssd_cp_reviews_tag_dw.sql,,ssd_cp_reviews,previous_conference_workflow_step_id,ssd_cp_reviews.previous_conference_workflow_step_id,9,numeric,9,numeric(9),,9,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/ssd_cp_reviews_tag_dw.sql,,ssd_cp_reviews,previous_conference_date,ssd_cp_reviews.previous_conference_date,10,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/ssd_cp_reviews_tag_dw.sql,,ssd_cp_reviews,previous_conference_type,ssd_cp_reviews.previous_conference_type,11,varchar,64,varchar(64),64,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cp_visits,cppv_cp_visit_id,ssd_cp_visits.cppv_cp_visit_id,1,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_cp_visits,cppv_cp_plan_id,ssd_cp_visits.cppv_cp_plan_id,2,varchar,48,varchar(48),48,,,
