source_system,schema_name,table_name,field_count,first_source_file
eclipse,,ssd_address,14,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_address.sql
eclipse,,ssd_assessment_factors,3,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_assessment_factors.sql
eclipse,,ssd_care_leavers,12,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_care_leavers.sql
eclipse,,ssd_cin_assessments,10,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_assessments.sql
eclipse,,ssd_cin_episodes,12,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_episodes.sql
eclipse,,ssd_cin_plans,7,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_plans.sql
eclipse,,ssd_cin_visits,6,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cin_visits.sql
eclipse,,ssd_cla_care_plan,5,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_care_plan v0.1 - IN DEV.sql
eclipse,,ssd_cla_convictions,4,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_convictions.sql
eclipse,,ssd_cla_episodes,12,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_episodes.sql
eclipse,,ssd_cla_health,5,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_health.sql
eclipse,,ssd_cla_immunisations,3,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_immunisations.sql
eclipse,,ssd_cla_placement,11,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_placement.sql
eclipse,,ssd_cla_previous_permanence,5,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_previous_permanence.sql
eclipse,,ssd_cla_reviews,6,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_reviews.sql
eclipse,,ssd_cla_substance_misuse,5,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_substance_misuse.sql
eclipse,,ssd_cla_visits,6,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cla_visits.sql
eclipse,,ssd_contacts,6,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_contacts.sql
eclipse,,ssd_cp_plans,9,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cp_plans.sql
eclipse,,ssd_cp_reviews,9,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cp_reviews.sql
eclipse,,ssd_cp_visits,7,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_cp_visits.sql
eclipse,,ssd_department,4,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_department.sql
eclipse,,ssd_disability,6,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_disability.sql
eclipse,,ssd_early_help_episodes,8,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_early_help_episodes.sql
eclipse,,ssd_ehcp_active_plans,3,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_ehcp_active_plans.sql
eclipse,,ssd_ehcp_assessment,5,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_ehcp_assessment.sql
eclipse,,ssd_ehcp_named_plan,5,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_ehcp_named_plan.sql
eclipse,,ssd_ehcp_requests,5,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_ehcp_requests.sql
eclipse,,ssd_family,3,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_family.sql
eclipse,,ssd_immigration_status,5,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_immigration_status.sql
eclipse,,ssd_initial_cp_conference,13,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_initial_cp_conference.sql
eclipse,,ssd_involvements,9,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_involvements.sql
eclipse,,ssd_legal_status,5,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_legal_status.sql
eclipse,,ssd_linked_identifiers,6,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_linked_identifiers.sql
eclipse,,ssd_missing,7,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_missing.sql
eclipse,,ssd_mother,4,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_mother.sql
eclipse,,ssd_permanence,23,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_permanence.sql
eclipse,,ssd_person,48,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_person.sql
eclipse,,ssd_pre_proceedings,24,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_pre_proceedings.sql
eclipse,,ssd_professionals,9,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_professionals.sql
eclipse,,ssd_s251_finance,6,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_s251_finance.sql
eclipse,,ssd_s47_enquiry,9,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_s47_enquiry.sql
eclipse,,ssd_sdq_scores,5,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_sdq_scores.sql
eclipse,,ssd_sen_need,4,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_sen_need.sql
eclipse,,ssd_send,5,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_send.sql
eclipse,,ssd_voice_of_child,7,/workspaces/ssd-data-model/deployment_extracts/eclipse/live/ssd_deployment_individual_files/ssd_voice_of_child.sql
mosaic,,ssd_address,7,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_assessment_factors,3,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_care_leavers,12,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cin_assessments,10,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cin_episodes,12,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cin_plans,7,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cin_visits,6,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cla_care_plan,5,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cla_convictions,3,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cla_episodes,12,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cla_health,5,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cla_immunisations,2,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cla_placement,10,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cla_previous_permanence,5,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cla_reviews,7,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cla_substance_misuse,5,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cla_visits,6,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_contacts,5,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cp_plans,8,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cp_reviews,18,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_cp_visits,7,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_department,4,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_disability,3,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_early_help_episodes,8,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_ehcp_active_plans,3,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_ehcp_assessment,5,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_ehcp_named_plan,5,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_ehcp_requests,5,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_immigration_status,5,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_initial_cp_conference,13,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
mosaic,,ssd_involvements,8,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql
